PurchaseOrderID,PurchaseOrderNumber,OrderDate,TaxAmount,SubTotal,Closed,Notes,EmployeeID,VendorID,RemoveFromViewFlag
1,1001,,0.0000,0.0000,False,,1,2,False
2,1002,,0.0000,0.0000,False,,1,7,False
3,1003,,0.0000,0.0000,False,,1,11,False
4,1004,2024-11-15 00:00:00,105.0000,2100.0000,False,,1,3,False
5,1005,2024-11-20 00:00:00,67.5000,1350.0000,False,,1,5,False
6,1006,2024-11-25 00:00:00,82.2500,1645.0000,False,,1,8,False
7,1007,2024-12-01 00:00:00,45.7500,915.0000,False,,1,9,False
8,1008,2024-10-10 00:00:00,125.0000,2500.0000,True,,1,2,False
9,1009,2024-10-15 00:00:00,95.5000,1910.0000,True,,1,6,False
10,1010,2024-10-20 00:00:00,78.2500,1565.0000,True,,1,10,False
11,1011,2024-10-25 00:00:00,112.7500,2255.0000,True,,1,1,False
12,1012,2024-11-01 00:00:00,88.5000,1770.0000,True,,1,12,False
13,1013,2024-11-05 00:00:00,105.2500,2105.0000,True,,1,4,False
14,1014,2024-09-15 00:00:00,0.0000,0.0000,True,Vendor discontinued product line,1,13,False
15,1015,2024-09-20 00:00:00,0.0000,0.0000,True,Order cancelled - items no longer needed,1,14,False
16,1016,2024-09-01 00:00:00,145.0000,2900.0000,True,,1,2,False
17,1017,2024-09-10 00:00:00,92.5000,1850.0000,True,,1,5,False
18,1018,2024-08-15 00:00:00,118.7500,2375.0000,True,,1,3,False
19,1019,2024-08-20 00:00:00,85.0000,1700.0000,True,,1,15,False
20,1020,2024-08-25 00:00:00,102.5000,2050.0000,True,,1,6,False
