VendorID,VendorName,Phone,Address,City,ProvinceID,PostalCode,RemoveFromViewFlag
1,HighRoad Cycle Clothing,780-450-1345,1234 Colony Rd,Red Deer,AB,T4N5Y7,False
2,MotorParts Ltd,780-473-5664,15678 118 Ave,Edmonton,AB,T5M3K8,False
3,Williams Tires,780-696-2356,78 Flatston Land,Spruce Grove,AB,T7X3Y7,False
4,Cycle Glass,780-966-5896,567 Goodie Ave,Edmonton,AB,T5T4R3,False
5,Cycle WhareHouse,613-968-1345,11 Bradely Road,Belleville,ON,K8N5Y7,False
6,Prairie Bike Distributors,403-245-7788,2250 Barlow Trail SE,Calgary,AB,T2G3Z9,False
7,Northern Cycle Supply,780-455-9900,10423 178 Street NW,Edmonton,AB,T5S1R5,False
8,Mountain Peak Parts,403-609-3344,1515 Centre Street N,Calgary,AB,T2E2R7,False
9,Trailblazer Components,780-988-2211,8882 170 Street NW,Edmonton,AB,T5T4J2,False
10,Velocity Wholesale,604-879-5566,3380 Main Street,Vancouver,BC,V5V3M6,False
11,Summit Bike Imports,403-531-4455,7337 MacLeod Trail SW,Calgary,AB,T2H0L8,False
12,Ridgeline Distribution,780-244-6677,12220 149 Street NW,Edmonton,AB,T5L2J6,False
13,Pedal Power Suppliers,587-333-8899,5015 11 Street NE,Calgary,AB,T2E6Z2,False
14,Spoke & Hub Wholesale,780-702-1122,5003 98 Avenue,Edmonton,AB,T6B2X6,False
15,Cascade Components Ltd,604-251-3344,8268 Ontario Street,Vancouver,BC,V5X3E1,False
